,responses_tc,responses_tm,responses_ti,base_response,real_response
0,Red,Blue,The text does not provide information about the color of the gym shoes.,White,white
1,AB-1234,SV-6260,The text does not provide a license number.,SV-6260,sv-6260
2,Yes.,Yes.,The text does not provide information about a dog or a collar.,Yes.,no
3,Red,Blue,The text does not provide information about the color of a lamp.,Blue,blue
4,No.,No.,No.,No.,no
5,Reading a book.,Looking outside.,The text does not provide information about a woman in the room.,Looking out the window.,cleaning
6,Red,Yellow,The text does not provide information about the color of the birds' tails.,Yellow,yellow
7,Three.,One.,The text does not provide information about paper towel rolls.,One.,1
8,Soccer,Baseball,The text does not specify a sport being played.,Baseball,baseball
9,Lemons,Corn,Corn.,Corn,corn
10,Turn the red handle.,Turn the blue handle.,The text does not provide information on how to turn on the cold water.,Turn the faucet handle to the right.,with handle
11,A blue chair.,Couch,The text does not specify what he is sitting on.,He is standing on a Wii Balance Board.,chair
12,Green.,Red,The text does not provide information about the color of the car on the far right.,Red,red
13,Sunset,Cupcake,The text does not mention a brand of wine.,Cupcake,cupcake
14,No.,Yes.,The text does not provide information about a bear.,Yes.,yes
15,No.,Yes.,No.,Yes.,yes
16,A metal chair.,A wooden bench.,The text does not provide this information.,Bench.,bench
17,Yes.,No.,No.,No.,no
18,The coaches.,The umpires.,"The text does not provide information about ""the men in black.""",I don't know.,umpires
19,Sunny.,Overcast,Sunny,Overcast.,overcast
20,No.,Yes.,Unknown,Yes.,yes
21,On top of a blue laptop.,On top of a red laptop.,The text does not provide information about a black laptop.,On top of the red laptop.,under phone
22,Blue,Orange,The text does not provide information about the color of the man's jacket.,Orange,orange
23,Spinach leaves.,Basil leaves.,The text does not mention a leafy substance.,Basil,basil
24,MS 123 XY,MS 815 AJ,The text does not provide information about what is written on the boat.,MS 815 AJ,e-820 cr ms 815 aj
25,No.,Yes.,The text does not provide information about whether the player is right-handed.,Yes.,yes
26,A blue scarf.,A brown polka dot tie.,The text does not provide information about a baby or anything around a baby's neck.,A polka dot tie.,tie
27,A blue book.,A camera.,Not specified.,A camera.,camera
28,No.,Yes.,The text does not provide information about an image.,Yes.,yes
29,A blue balloon.,A baseball glove.,The text does not provide information about a boy or what is on his hand.,A baseball glove.,glove
30,Yes.,No.,Unknown,No.,no
31,No.,Yes.,Unrelated question.,Yes.,yes
32,No.,Unknown,No.,I don't know.,no
33,A red boat.,There is no bridge archway present.,The text does not mention anything traveling under a bridge archway.,A boat.,water
34,Kitchen,Waiting area,This text does not refer to a room in a house.,Living room.,living room
35,Six.,Four.,The text does not provide information about the number of people on the field.,5,3
36,No.,Yes.,No.,Yes.,yes
37,No.,Yes.,The text does not provide information about a photograph.,Yes.,yes
38,Red,White,The text does not provide information about the color of a person's shirt.,White,white
39,Kitchen.,Bathroom,The text does not provide enough information to determine the kind of room pictured.,Bathroom,bathroom
40,18,0,18 toes,Five,4
41,Green,Purple,The text does not provide information about the color of the bear's apron.,Purple,pink
42,No.,Yes.,The text does not provide information about a balcony under the clock.,Yes.,yes
43,A painting and a clock.,A lamp and a mirror.,The text does not provide information about what is hanging on the wall.,A wall lamp.,lamp
44,A red wall.,Blue sky.,The reflection is of Team TNA finishing in second place in the 2008 TNA World X Cup Tournament.,A landscape.,outside
45,The text does not specify the number of buses.,One bus.,The text does not provide information about buses.,One.,1
46,A bright blue color with a shiny texture.,A light brown color with a crispy texture.,The text does not provide information about a burger bun.,Onion and mustard.,chicken patty
47,Playing with a ball of yarn.,Reaching into a cup with its paw.,The text does not provide information about a cat.,The cat is reaching into a cup.,drinking
48,No.,Yes.,Unknown,Yes.,yes
49,The text does not provide the age of the girl.,The text does not specify the girl's age.,Unknown,I don't know.,3
50,No.,Yes.,Yes.,No.,no
51,Floral pattern,Geometric pattern,The text does not provide information about any pattern on linens.,Geometric pattern.,triangles
52,None.,The text does not specify the number of bananas.,The text does not provide information about bananas or oranges.,There are 14 bananas.,19
53,No.,Yes.,The text does not provide information about clouds.,Yes.,yes
54,Blue Tram Co.,Polperro Tram Co.,The text does not provide information about a trolley or the company operating it.,Polperro Tram Co.,polperro tram co
55,None.,Three.,The text does not provide information about elephants.,Three.,3
56,Yes.,No.,No.,No.,no
57,A red necklace.,A scarf.,The text does not provide information about what is around the woman's neck.,A scarf.,scarf
58,Blue.,Orange.,The Cut River Bridge.,Plastic mesh fencing.,fence
59,Yes.,No.,Unknown,No.,no
60,0,Three.,The text does not provide information about the number of brown teddy bears.,Three.,3
61,No.,Yes.,The text does not provide information about goggles or eyes.,Yes.,yes
62,Blue,White,The text does not provide information about the color of the refrigerator.,White,white
63,Red,Blue,The text does not provide information about the color of the table top.,Green,green
64,Blue and green,Black and white.,The text does not provide information about the color of the zebra.,Black and white.,black and white
65,Because it is being cast on a wall.,Part of the shadow falls on a raised surface while the other part is on a lower surface.,The text does not provide information about a shadow being cut in half.,The shadow is cut in half because part of it falls on a different surface level.,concave
66,Mountain biking,Snowboarding,Mixing,Snowboarding,snowboarding
67,Yes.,No.,No.,No.,no
68,Yes.,No.,Yes.,Yes.,no
69,Backhand shot.,Forehand shot.,Casino Royale,Serve,tennis ball
