,image_path,image_id,question,answer,type,Tm,Tc,Ti
0,COCO_val2014_000000014248.jpg,14248,What is laying on the bed?,girl,text only,,,
1,COCO_val2014_000000014257.jpg,14257,Are the two people friends?,yes,text only,,,
2,COCO_val2014_000000014265.jpg,14265,Is the man carrying a bag?,yes,text only,,,
3,COCO_val2014_000000014271.jpg,14271,What kind is the tree?,oak,text only,,,
4,COCO_val2014_000000014276.jpg,14276,What is the wall made of?,trees,text only,,,
5,COCO_val2014_000000014278.jpg,14278,Is it sunny?,no,text only,,,
6,COCO_val2014_000000014282.jpg,14282,What is laying across the tub?,rack,text only,,,
7,COCO_val2014_000000014285.jpg,14285,Is the television on or off?,off,text only,,,
8,COCO_val2014_000000014297.jpg,14297,Does someone live in this boat?,yes,text only,,,
9,COCO_val2014_000000014306.jpg,14306,What type of animal is in the computer screen?,dog,text only,,,
10,COCO_val2014_000000014321.jpg,14321,How many wheels are visible in the picture?,4,text only,,,
11,COCO_val2014_000000014338.jpg,14338,Is it night or day?,day,text only,,,
12,COCO_val2014_000000014352.jpg,14352,Is there shampoo in the shower?,yes,text only,,,
13,COCO_val2014_000000014353.jpg,14353,How many appliances?,1,text only,,,
14,COCO_val2014_000000014380.jpg,14380,Is it about to rain?,no,text only,,,
15,COCO_val2014_000000014392.jpg,14392,Is the man wearing a blue cap?,yes,text only,,,
16,COCO_val2014_000000014428.jpg,14428,What fruit is on the bag?,cherries,text only,,,
17,COCO_val2014_000000014439.jpg,14439,Who is flying the kite?,kid,text only,,,
18,COCO_val2014_000000014450.jpg,14450,What is the vehicle here?,train,text only,,,
19,COCO_val2014_000000014470.jpg,14470,What color are the t shirts?,orange,text only,,,
20,COCO_val2014_000000014473.jpg,14473,Is this a toy train or a real train?,toy,text only,,,
21,COCO_val2014_000000014494.jpg,14494,How many women have long hair?,0,text only,,,
22,COCO_val2014_000000014504.jpg,14504,Do you think the store is still opened?,yes,text only,,,
23,COCO_val2014_000000014526.jpg,14526,What color is on the top of the train?,gray,text only,,,
24,COCO_val2014_000000014547.jpg,14547,What color are his glasses?,black,text only,,,
25,COCO_val2014_000000014549.jpg,14549,What color is the man's shirt?,red and black,text only,,,
26,COCO_val2014_000000014557.jpg,14557,Where is the clock?,on building,text only,,,
27,COCO_val2014_000000014562.jpg,14562,What color are his shorts?,black,text only,,,
28,COCO_val2014_000000014567.jpg,14567,Is this outdoors?,yes,text only,,,
29,COCO_val2014_000000014591.jpg,14591,Does this man have bad breath?,yes,text only,,,
30,COCO_val2014_000000014592.jpg,14592,What kind of fruit is in the monkeys hand?,banana,text only,,,
31,COCO_val2014_000000014600.jpg,14600,What color is the wall?,gray,text only,,,
32,COCO_val2014_000000014629.jpg,14629,Is she cooking?,yes,text only,,,
33,COCO_val2014_000000014635.jpg,14635,How many are looking at the camera?,1,text only,,,
34,COCO_val2014_000000014681.jpg,14681,What color is the animal?,brown and white,text only,,,
35,COCO_val2014_000000014713.jpg,14713,What room is this a picture of?,living room,text only,,,
36,COCO_val2014_000000014723.jpg,14723,What activity is this man doing?,snowboarding,text only,,,
37,COCO_val2014_000000014733.jpg,14733,How many animals are visible?,10,text only,,,
38,COCO_val2014_000000014743.jpg,14743,Does the fence look hand built?,yes,text only,,,
39,COCO_val2014_000000014756.jpg,14756,Is this man engaging in friendly behavior?,no,text only,,,
40,COCO_val2014_000000014773.jpg,14773,What is under the car?,plate,text only,,,
41,COCO_val2014_000000014781.jpg,14781,Does the bathroom look occupied?,no,text only,,,
42,COCO_val2014_000000014820.jpg,14820,Does the zebra look healthy?,yes,text only,,,
43,COCO_val2014_000000014821.jpg,14821,What is in the bag?,food,text only,,,
