,Ti_responses
0,No gym shoes in the text.
1,"Answer the following question given the text:
Text:  Kawaguchi 's Center Body of troops was planning to attack the Lunga perimeter at the ridge , which they called "" the centipede "" (   gata ) because of its shape . On 9 September , Kawaguchi 's troops left the coast at Koli Point . Split into four columns , they marched into the jungle towards their predesignated attack points south and southeast of the airfield . Lack of good maps , at least one faulty compass , and thick , almost impenetrable jungle caused the Japanese columns to proceed slowly and zigzag , costing a lot of time . At the same time , Oka 's troops approached the Lunga perimeter from the west . Oka had some intelligence on the Marine defenses , extracted from a U.S. Army pilot captured on 30 August . 

Question: What is the license number?

Respond only with the final answer, without explanation or full sentences.

0"
2,"Answer the following question given the text:
Text:  In the centre , the main attack along the Buin Road began at 08 : 30 on 20 May after 20 minutes of strafing by New Zealand Corsairs had prepared the ground . Advancing under a creeping barrage , and with mortar and machine gun support , the 24th Infantry Battalion moved forward with three companies up front and one held back in reserve , along with two troops of Matilda tanks . Mostly the forward companies reached their objectives , but one of the companies was halted just short of their objective and was forced to dig @-@ in overnight after coming under heavy small arms and artillery fire and losing four killed and five wounded . The attack was resumed the following day , and the Australians were able to advance to the   ford ; however , they were prevented from moving any further as the Japanese were still concentrated in large numbers further to the west where an Australian patrol encountered 70 Japanese and were forced to go to ground . Finally , a company from the 24th Infantry Battalion was able to move on to the high ground on Egan 's Ridge , which they found to be heavily mined and booby trapped . Engineers and assault pioneers were called up to clear the feature . 

Question: Does this dog have a collar?

Respond only with the final answer, without explanation or full sentences.

No"
3,"Answer the following question given the text:
Text:  Mount Elbert was named by miners in honor of Samuel Hitt Elbert , the governor of the then @-@ Territory of Colorado , because he brokered a treaty in September 1873 with the Ute tribe that opened up more than 3 @,@ 000 @,@ 000 acres ( 12 @,@ 000 km2 ) of reservation land to mining and railroad activity . The first recorded ascent of the peak was by H.W.   in 1874 , who was surveying the mountain as part of the Hayden Survey . 

Question: What color is lamp?

Respond only with the final answer, without explanation or full sentences.

No lamp in the text."
4,No
5,"Answer the following question given the text:
Text:  On May 16 , 2006 the University released their findings ; the Investigative Committee agreed unanimously that Churchill had engaged in "" serious research misconduct "" , including falsification , fabrication , and two of the three allegations of plagiarism . The committee was divided on the appropriate level of sanctions . The Standing Committee on Research Misconduct accepted the findings of the Investigative Committee but also disagreed on what sanctions should be imposed . Churchill 's appeal against his proposed dismissal was considered by a panel of the University 's Privilege and Tenure Committee , which found that two of the seven findings of misconduct did not constitute   offences . Three members recommended that the penalty should be demotion and one year 's suspension without pay , while two favored dismissal . 

Question: What is the woman in the room doing?

Respond only with the final answer, without explanation or full sentences.

No woman in the room."
6,"Answer the following question given the text:
Text:  Dynastic rulership among the lowland Maya is most deeply rooted at Tikal . According to later hieroglyphic records , the dynasty was founded by Yax @-@ Moch @-@   , perhaps in the 3rd century AD . At the beginning of the Early Classic , power in the Maya region was concentrated at Tikal and Calakmul , in the core of the Maya heartland . 

Question: What color is the tip of the birds' tails?

Respond only with the final answer, without explanation or full sentences.

Black"
7,0
8,No sport is being played.
9,"Answer the following question given the text:
Text:  Meridian is located in the North Central Hills region of Mississippi in Lauderdale County . According to the United States Census Bureau , the city has a total area of 45 @.@ 9 sq mi ( 119 km2 ) , of which 45 @.@ 1 sq mi ( 117 km2 ) is land and 0 @.@ 8 sq mi ( 2 @.@ 1 km2 ) is water . Along major highways , the city is 93 mi ( 150 km ) east of Jackson , Mississippi ; 154 mi ( 248 km ) west of Birmingham , Alabama ; 202 mi ( 325 km ) northeast of New Orleans , Louisiana ; 231 mi ( 372 km ) southeast of Memphis , Tennessee ; and 297 mi ( 478 km ) west of Atlanta , Georgia . The area surrounding the city is covered with cotton and corn fields along with oak and pine forests , and its topography consists of clay hills and the bottom lands of the head waters of the   River . 

Question: What is the yellow food?

Respond only with the final answer, without explanation or full sentences.

Corn"
